FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
B10471BRE_Splice17_01,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,breast ,45,0,45,0,1,,
B10471BRE_Splice17_02,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,breast ,45,0,45,0,2,,
B10471BRE_Splice17_03,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,breast ,45,0,45,0,3,,
B10471CRW_Splice17_1,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,crown ,45,0,45,0,1,,
B10471CRW_Splice17_2,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,crown ,45,0,45,0,2,,
B10471CRW_Splice17_3,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,crown ,45,0,45,0,3,,
B10471MNTL_Splice17_1,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,mantle ,45,0,45,0,1,,
B10471MNTL_Splice17_2,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,mantle ,45,0,45,0,2,,
B10471MNTL_Splice17_3,M,,Museums Victoria,,B10471,,Charadriiformes,Laridae,Larus,pacificus,,male,adult,Australia,"Mallacoota, Shallow Inlet",-37.57,149.75,,,1969,2004-02-16,mantle ,45,0,45,0,3,,
B11261BEL_Splice17_1,M,,Museums Victoria,,B11261,,Sphenisciformes,Spheniscidae,Eudyptula,minor,,female,adult,Australia,"Port Phillip Bay, Rosebud",-38.35,144.92,,,1970,2019-05-16,belly ,45,0,45,0,1,feathers have a silky appearance,
